BGGId,Name,AvgRating,NumUserRatings
48726,Alien Frontiers,7.40006,14464
50750,Belfort,7.23143,6074
50768,Ninjato,7.18353,2637
52461,Legacy: The Testament of Duke de Crecy,7.1567,4113
53093,Heroes of Normandie,7.46806,1999
54043,Jaipur,7.50348,40723
54138,Imperial 2030,7.67614,5963
54361,Heroscape Master Set:  Battle for the Underdark,7.49587,1030
54625,Space Hulk (Third Edition),7.53295,6817
54998,Cyclades,7.51995,18742
55427,Mr. Jack in New York,7.21632,3097
55600,Shipyard,7.35377,3815
55670,Macao,7.41687,7089
55690,Kingdom Death: Monster,8.61012,8012
55829,Axis & Allies Pacific 1940,7.50449,1694
57390,Catacombs,7.08188,2917
57660,Time's Up! Edición Azul,7.33284,1217
58281,Summoner Wars,7.24917,6312
58421,Egizia,7.41315,5220
58936,Wars of the Roses: Lancaster vs. York,7.35056,1461
59294,Runewars,7.63415,7914
59959,Letters from Whitechapel,7.38499,14326
60153,War of the Ring Collector's Edition,8.66854,1083
60435,Rallyman,7.20619,2444
61692,Axis & Allies Europe 1940,7.55775,1953
62219,Dominant Species,7.8393,18717
62222,Commands & Colors: Napoleonics,8.00796,2807
62227,"Labyrinth: The War on Terror, 2001 – ?",7.58976,4500
63543,Horus Heresy,7.05699,1643
63628,The Manhattan Project,7.35001,9321
63888,Innovation,7.26474,15706
65532,Defenders of the Realm,7.29953,5275
65781,London,7.35003,6354
65901,Age of Industry,7.37049,2893
66188,Fresco,7.27603,12219
66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.12794,6067
66362,Glen More,7.31374,8856
66505,The Speicherstadt,7.02879,4856
66510,The Red Dragon Inn 3,7.17843,1616
66589,Navegador,7.54366,8359
67492,Battles of Westeros,7.25872,2863
68264,No Retreat! The Russian Front,7.78127,1546
68425,Eminent Domain,7.0247,9833
68448,7 Wonders,7.73733,89249
69779,Polis: Fight for the Hegemony,7.57174,2205
69789,Ascension: Deckbuilding Game,7.0282,12242
70149,Ora et Labora,7.70347,10095
70323,King of Tokyo,7.17131,60654
70512,Luna,7.30976,4670
70919,Takenoko,7.26044,37651
71671,Yggdrasil,7.04402,3833
72125,Eclipse,7.87806,26778
72225,CO₂,7.14314,3770
72321,The Networks,7.20584,5650
72991,Asara,7.00899,2706
73171,Earth Reborn,7.65033,3283
73439,Troyes,7.75453,20090
73664,Cabo,7.0842,1125
73761,K2,7.04524,9532
75165,De Vulgari Eloquentia,7.21404,1910
75449,Firenze,7.25117,2899
75476,Inca Empire,7.02242,1425
77130,Sid Meier's Civilization: The Board Game,7.40433,14811
77423,The Lord of the Rings: The Card Game,7.65542,21732
79127,Star Trek: Fleet Captains,7.50418,3193
79828,A Few Acres of Snow,7.39085,7591
81640,Florenza,7.41224,1007
82222,Xia: Legends of a Drift System,7.87716,8135
82420,Summoner Wars: Guild Dwarves vs Cave Goblins,7.57203,2354
82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.52151,2586
83330,Mansions of Madness,7.28998,13021
83667,First Train to Nuremberg,7.0671,1066
84419,Space Empires: 4X,7.70246,3247
84876,The Castles of Burgundy,8.12711,50099
85897,Thunderstone: Dragonspire,7.33814,2666
87890,Prêt-à-Porter,7.38586,3852
88827,Battle Cry: 150th Civil War Anniversary Edition,7.63836,1153
89409,BattleCON: War of Indines,7.72024,1821
89952,Carcassonne: 10 Year Special Edition,7.68229,1677
90137,Blood Bowl: Team Manager – The Card Game,7.38053,10610
90419,Airlines Europe,7.30044,6988
91080,Andean Abyss,7.61444,1736
91312,Discworld: Ankh-Morpork,7.23935,9560
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,7.23719,5811
91873,Strasbourg,7.17417,2550
91984,Québec,7.13265,1538
92415,Skull,7.20582,16260
92828,Dixit: Odyssey,7.44424,17841
93260,Summoner Wars: Master Set,7.50628,10544
94104,Omen: A Reign of War,7.34832,1550
94246,1812: The Invasion of Canada,7.33837,2266
95064,Ascension: Return of the Fallen,7.29775,3203
95103,Fortune and Glory: The Cliffhanger Game,7.10502,3638
95527,Madeira,7.60033,4084
96007,The New Era,7.51149,1276
96848,Mage Knight Board Game,8.09974,29271
96913,Lancaster,7.40964,6869
97207,Dungeon Petz,7.45113,13409
97786,Small World Underground,7.26108,10106
97842,Last Will,7.18723,9373
98229,Pictomania,7.28231,3407
98351,Core Worlds,7.17171,4053
98527,Gloom of Kilforth: A Fantasy Quest Game,7.61038,1613
98778,Hanabi,7.07383,41230
98918,Bios: Genesis,7.1225,1373
100901,Flash Point: Fire Rescue,7.19361,21850
101721,Mage Wars Arena,7.62335,7526
102652,Sentinels of the Multiverse,7.2019,15137
102680,Trajan,7.75764,15475
102794,Caverna: The Cave Farmers,8.00345,29588
103343,A Game of Thrones: The Board Game (Second Edition),7.58275,30080
103885,Star Wars: X-Wing Miniatures Game,7.67429,23648
103886,Star Wars: The Card Game,7.18217,5451
104006,Village,7.51728,21072
104020,Vanuatu,7.21203,2611
104162,Descent: Journeys in the Dark (Second Edition),7.66953,23520
104363,Rex: Final Days of an Empire,7.08112,4296
104581,Panic on Wall Street!,7.00243,1420
104710,Wiz-War (Eighth Edition),7.05789,4753
104955,Antike Duellum,7.07541,1699
105134,Risk Legacy,7.4098,7799
105551,Archipelago,7.33469,7611
106217,Hawaii,7.13741,4295
108687,Puerto Rico,8.43583,4730
108745,Seasons,7.39696,21881
108784,Ascension: Storm of Souls,7.29753,3448
108906,Thunder Alley,7.31985,3248
109125,Wallenstein (Second Edition),7.59987,1251
109276,Kanban: Driver's Edition,7.82689,6142
109291,Sails of Glory,7.53313,1032
110277,Among the Stars,7.06731,6838
110327,Lords of Waterdeep,7.74859,48355
111124,Dark Moon,7.01114,3208
111341,The Great Zimbabwe,7.79535,3395
111799,Cuba Libre,7.69433,2722
112092,Shadowrift,7.2217,1185
113636,Edo,7.06917,1646
113873,"The Hunters: German U-Boats at War, 1939-43",7.77397,1554
113924,Zombicide,7.14337,17205
113997,Tajemnicze Domostwo,7.15547,5008
115746,War of the Ring: Second Edition,8.50988,15247
116998,Thunderstone Advance: Towers of Ruin,7.35845,4632
117915,Yedo,7.37516,3560
117959,Las Vegas,7.13381,9771
117985,Star Trek: Catan,7.00475,3367
118048,Targi,7.64049,16676
119432,Snowdonia,7.36226,4698
119506,Freedom: The Underground Railroad,7.58036,4024
119788,Hyperborea,7.20144,4526
119890,Agricola: All Creatures Big and Small,7.36734,12703
120523,Nothing Personal,7.06213,2291
120677,Terra Mystica,8.12673,41541
121288,Dixit: Journey,7.41143,4318
121408,Trains,7.15583,7900
121921,Robinson Crusoe: Adventures on the Cursed Island,7.82095,36792
122294,Ascension: Immortal Heroes,7.34749,1560
122515,Keyflower,7.78508,20010
122842,Exodus: Proxima Centauri,7.16075,1641
123123,BattleCON: Devastation of Indines,7.90252,3029
123260,Suburbia,7.5092,22389
123499,City of Iron,7.1896,1648
123607,Puzzle Strike (Third Edition),7.21484,1770
123955,Thunderbolt Apache Leader,8.05653,1182
124052,Cinque Terre,7.04641,1346
124361,Concordia,8.1209,31147
124708,Mice and Mystics,7.28961,17529
124742,Android: Netrunner,7.87621,27566
125153,The Gallerist,8.05887,10984
125618,Libertalia,7.15239,12901
125678,DC Comics Deck-Building Game,7.04401,6593
126042,Nations,7.6307,11446
126100,Mythos Tales,7.42115,1984
126163,Tzolk'in: The Mayan Calendar,7.89161,32977
126792,Myrmes,7.2737,5197
127023,Kemet,7.70287,17091
127060,Bora Bora,7.56731,9372
127398,Legends of Andor,7.18506,16113
127518,A Distant Plain,7.86006,1544
128271,Ginkgopolis,7.49647,5813
128621,Viticulture,7.56608,11074
128671,Spartacus: A Game of Blood and Treachery,7.4716,7573
128721,Crisis,7.54825,1664
128780,Pax Porfiriana,7.68413,3226
128882,The Resistance: Avalon,7.56414,28600
128898,New Amsterdam,7.06394,1279
128996,1775: Rebellion,7.67462,3862
129437,Legendary: A Marvel Deck Building Game,7.56408,20567
129459,Duel of Ages II,7.42501,1189
129622,Love Letter,7.23317,59080
129736,Cockroach Poker Royal,7.04889,2769
129948,The Palaces of Carrara,7.16593,4267
130060,Ohne Furcht und Adel,7.04134,1189
130176,Tales & Games: The Hare & the Tortoise,7.09161,3796
130960,Triumph & Tragedy: European Balance of Power 1936-1945,8.15993,1876
131014,Carcassonne: Winter Edition,7.49811,1737
131111,Codex: Card-Time Strategy – Deluxe Set,8.04719,1011
131287,Panamax,7.32214,3692
131357,Coup,7.00062,38393
131646,Merchant of Venus (Second Edition),7.15947,3675
132018,Churchill,7.66984,2532
132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.94528,1763
132531,Roll for the Galaxy,7.65046,28038
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.19748,12246
133473,Sushi Go!,7.04065,37606
133848,Euphoria: Build a Better Dystopia,7.24099,9833
134726,Smash Up: Awesome Level 9000,7.2481,6652
135219,The Battle of Five Armies,7.8734,2373
135382,Shadowrun: Crossfire,7.15378,3484
135779,A Fake Artist Goes to New York,7.16809,5543
136063,Forbidden Desert,7.12602,27008
136888,Bruges,7.42596,10652
137269,Spyrium,7.06652,5934
137408,Amerigo,7.46141,5689
137423,Pixel Tactics 2,7.06206,1119
137649,Level 7 [Omega Protocol],7.46165,2026
137988,Zombicide Season 2: Prison Outbreak,7.38367,4391
138161,Firefly: The Game,7.39427,10895
138233,Ascension: Rise of Vigil,7.16924,1663
138431,Galaxy Defenders,7.45048,1657
138649,DC Comics Dice Masters: Justice League,7.3355,1378
139771,Star Trek: Attack Wing,7.50367,1840
139898,Brew Crafters,7.43237,2896
139976,Cthulhu Wars,7.90005,4865
139991,Fresco: Big Box,7.71807,1525
139993,Kingdom Builder: Big Box,7.60283,1087
140068,Galaxy Trucker: Anniversary Edition,8.18279,2787
140603,Francis Drake,7.41006,4697
140620,Lewis & Clark: The Expedition,7.48482,13816
140711,Carcassonne Big Box 4,7.78212,1168
140934,Arboretum,7.36647,14894
141423,Dead Men Tell No Tales,7.12471,3175
141517,A Study in Emerald,7.18808,3187
141572,Paperback,7.17544,9462
142057,Carcassonne Big Box,7.56939,1006
142121,Guildhall: Job Faire,7.13174,1060
142271,Anomia: Party Edition,7.07923,1129
142379,Escape Plan,7.58273,4014
142852,DC Comics Deck-Building Game: Heroes Unite,7.39507,1775
142961,Thunderstone Advance: Numenera,7.2868,1308
143175,Kashgar: Merchants of the Silk Road,7.08441,1984
143401,Yunnan,7.12299,1295
143405,Sylvion,7.10812,2724
143515,Coal Baron,7.28116,4448
143519,Quantum,7.26837,6834
143693,Glass Road,7.44869,9571
144041,Patchistory,7.1219,2062
144189,Fire in the Lake,8.0776,2400
144344,Rococo,7.5904,7944
144529,Theseus: The Dark Orbit,7.07193,1748
144592,Bruxelles 1893,7.6393,4954
144733,Russian Railroads,7.76242,15737
